image_id,image_filename,image_doi,cell_id,bethesda_system,nucleus_x,nucleus_y
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,1,SCC,792,462
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,2,SCC,601,678
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,3,SCC,363,467
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,4,SCC,599,437
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,5,Negative for intraepithelial lesion,1186,450
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,6,Negative for intraepithelial lesion,408,599
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,7,LSIL,483,293
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,8,LSIL,814,121
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,9,HSIL,532,312
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,10,ASC-H,638,245
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,11,ASC-H,648,192
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,12,ASC-H,637,142
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,13,ASC-H,594,127
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,14,ASC-H,536,88
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,15,ASC-H,637,104
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,16,ASC-H,903,220
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,17,ASC-H,840,248
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,18,LSIL,76,148
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,19,LSIL,60,178
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,20,LSIL,80,218
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,21,LSIL,103,293
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,22,LSIL,124,292
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,23,LSIL,122,272
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,24,LSIL,219,160
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,25,HSIL,322,193
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,26,HSIL,402,161
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,27,ASC-H,986,499
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,28,ASC-H,941,495
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,29,ASC-H,946,463
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,30,ASC-H,889,487
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,31,ASC-H,872,450
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,32,ASC-H,829,434
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,33,ASC-H,836,414
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,34,ASC-H,973,556
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,35,LSIL,468,499
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,36,ASC-H,279,464
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,37,LSIL,212,265
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,38,ASC-H,131,357
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,39,ASC-H,68,338
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,40,ASC-H,317,67
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,41,LSIL,1010,92
